Titolo,Proprietario,Ludoteca,Già al Lumen
5211,Mirella,Standard,FALSE
6 LE PRENDI,Mirella,Standard,FALSE
7 WONDERS,Davide,Standard,FALSE
7 WONDERS DUEL,Lele,Standard,FALSE
890 ANNO DOMINI,Mirella,Standard,FALSE
ABALONE,Mirella,Standard,FALSE
ACROPOLIS,Mirella,Standard,FALSE
ACTIVITY (Original),Mirella,Standard,FALSE
AFTER US,Pietro,Standard,FALSE
AGE OF INNOVATION,Davide,Cinghialoni,FALSE
ALPACA,Mirella,Standard,FALSE
ANCIENT KNOWLEDGE,Davide,Standard,FALSE
ARK NOVA,Davide,Cinghialoni,FALSE
AXO,Lele,Standard,FALSE
AZUL LE VETRATE DI SINTRA ,Mirella,Standard,FALSE
BANG!,Mirella,Standard,FALSE
BARBASCURA: EVOLVERSI MALE,Davide,Standard,FALSE
BECCATO,Mirella,Standard,FALSE
BELLZ!,Mirella,Bambini,FALSE
BICCHIERI SPRINT,Mirella,Bambini,FALSE
BLACK ROSE WARS,Davide,Cinghialoni,FALSE
BIRDIE,Mirella,Standard,FALSE
BONSAI,Mirella,Standard,FALSE
BOWER,Mirella,Standard,FALSE
BRASS,Leonardo,Cinghialoni,FALSE
BYZANZ,Lele,Standard,FALSE
CA$H'N GUN$,Marcello,Standard,FALSE
CAFE',Mirella,Standard,FALSE
CALICO,Mirella,Standard,FALSE
CAMEL UP,Lele,Standard,FALSE
CANA MEMOARRR,Mirella,Bambini,FALSE
CAN'T STOP,Mirella,Standard,FALSE
CAPTAIN FLIP,Lele,Standard,FALSE
CARCASSONNE,Mirella,Standard,FALSE
CARDS VS GRAVITY,Lele,Standard,FALSE
CARNEGIE,Davide,Cinghialoni,FALSE
CELESTIA,Mirella,Standard,FALSE
CHALLENGERS!,Mirella,Standard,FALSE
CIARLATANI DI QUEDLINMBURGO,Davide,Standard,FALSE
CITADELS,Mirella,Standard,FALSE
CLUEDO,Mirella,Standard,FALSE
CODEX NATURALIS,Pietro,Standard,FALSE
COLONI DI CATAN,Leonardo,Standard,FALSE
COLORETTO,Lele,Standard,FALSE
COOKIE BOX,Mirella,Bambini,FALSE
CRONACHE DI AVEL (Le),Mirella,Standard,FALSE
CROSS CLUES,Mirella,Standard,FALSE
CUBOSAURS,Mirella,Bambini,FALSE
DEDUCTO,Mirella,Standard,FALSE
DING!,Mirella,Standard,FALSE
DIXIT,Mirella,Standard,FALSE
DOBBLE,Mirella,Standard,FALSE
DON'T WAKE UP CTHULHU!,Davide,Standard,FALSE
DUBITO,Mirella,Standard,FALSE
DUPLIK DUPLIK,Mirella,Bambini,FALSE
ESPRESSO DOPPIO,Mirella,Standard,FALSE
EVENFALL,Davide,Standard,FALSE
EXPLODING KITTENS: PARTY PACK,Pietro,Standard,FALSE
FANTASCATTI,Mirella,Bambini,FALSE
FANTOZZI BATTI LEI,Mirella,Standard,FALSE
FARAWAY,Davide,Standard,FALSE
FEDERATION,Davide,Standard,FALSE
FOREST SHUFFLE,Mirella,Standard,FALSE
FORZA 4 TRAVEL,Mirella,Standard,FALSE
FOXY,Mirella,Standard,FALSE
FRANTIC,Mirella,Standard,FALSE
GINO PILOTINO,Mirella,Bambini,FALSE
HAPPY SALMON,Lele,Standard,FALSE
HARMONIES,Davide,Standard,FALSE
HEAT: PEDAL TO THE METAL,Davide,Standard,FALSE
HENS,Mirella,Standard,FALSE
HIVE,Mirella,Standard,FALSE
I CASTELLI DELLA BOR/GOGNA,Leonardo,Standard,FALSE
IL GRANDE DALMUTI,Davide,Standard,FALSE
IL PADRONE DI CASA,Mirella,Standard,FALSE
IL PAROLIERE,Mirella,Standard,FALSE
IL VERME E' TRATTO,Davide,Standard,FALSE
IMAGINE,Mirella?,Standard,FALSE
